Id;Id_bat;Time;x1;x2;x3;x4;x5
0;1;2016-01-01 00:00:00;1.5;8.1;22.0;380.18300000000005;20.0
1;1;2016-01-01 01:00:00;1.6;8.2;21.9;378.1;120.0
2;1;2016-01-01 02:00:00;1.4;7.9;21.9;374.983;120.0
3;1;2016-01-01 03:00:00;1.6;6.9;21.8;376.017;120.0
4;1;2016-01-01 04:00:00;1.4;6.3;21.8;376.017;120.0
5;1;2016-01-01 05:00:00;1.7;5.8;21.7;377.05;120.0
6;1;2016-01-01 06:00:00;1.6;5.3;21.7;382.267;120.0
7;1;2016-01-01 07:00:00;1.3;4.7;21.7;379.133;120.0
8;1;2016-01-01 08:00:00;1.6;5.1;21.7;383.3;120.0
9;1;2016-01-01 09:00:00;1.5;5.4;21.7;384.333;120.0
10;1;2016-01-01 10:00:00;1.5;5.7;21.6;386.43300000000005;147.224
11;1;2016-01-01 11:00:00;1.5;5.9;21.6;386.45;209.099
12;1;2016-01-01 12:00:00;1.5;6.2;21.5;381.233;262.312
13;1;2016-01-01 13:00:00;1.4;6.8;21.5;381.233;279.636
14;1;2016-01-01 14:00:00;1.6;7.4;21.5;376.017;190.536
15;1;2016-01-01 15:00:00;1.3;7.5;21.5;371.867;217.761
16;1;2016-01-01 16:00:00;1.7;7.8;21.5;367.667;158.361
17;1;2016-01-01 17:00:00;1.4;7.9;21.5;369.75;121.237
18;1;2016-01-01 18:00:00;1.3;7.6;21.5;362.483;120.0
19;1;2016-01-01 19:00:00;1.4;7.5;21.4;366.65;120.0
20;1;2016-01-01 20:00:00;1.6;7.4;21.4;367.68300000000005;120.0
21;1;2016-01-01 21:00:00;1.4;7.2;21.4;364.55;120.0
22;1;2016-01-01 22:00:00;1.4;6.9;21.3;363.5;120.0
23;1;2016-01-01 23:00:00;1.7;6.9;21.3;362.483;120.0
24;1;2016-01-02 00:00:00;1.4;7.1;21.2;360.4;120.0
25;1;2016-01-02 01:00:00;1.4;7.4;21.2;363.5;120.0
26;1;2016-01-02 02:00:00;1.5;7.3;21.2;357.283;120.0
27;1;2016-01-02 03:00:00;1.5;7.9;21.1;362.467;120.0
28;1;2016-01-02 04:00:00;1.2;8.1;21.1;360.383;120.0
29;1;2016-01-02 05:00:00;1.7;8.4;21.1;361.43300000000005;120.0
30;1;2016-01-02 06:00:00;1.4;8.6;21.1;357.267;120.0
31;1;2016-01-02 07:00:00;1.5;8.6;21.1;363.5;120.0
32;1;2016-01-02 08:00:00;1.4;8.7;21.1;363.517;120.0
33;1;2016-01-02 09:00:00;1.5;9.0;21.1;360.383;120.0
34;1;2016-01-02 10:00:00;1.5;9.5;21.1;358.3;188.062
35;1;2016-01-02 11:00:00;1.5;10.1;21.0;360.383;336.5619999999999
36;1;2016-01-02 12:00:00;1.4;10.5;21.0;357.25;394.725
37;1;2016-01-02 13:00:00;1.4;10.8;21.1;353.1;566.736
38;1;2016-01-02 14:00:00;1.5;10.9;21.1;354.1330000000001;373.686
39;1;2016-01-02 15:00:00;1.5;10.8;21.1;352.06699999999995;262.311
40;1;2016-01-02 16:00:00;1.5;10.4;21.1;349.967;185.586
41;1;2016-01-02 17:00:00;1.4;10.1;21.1;353.117;120.0
42;1;2016-01-02 18:00:00;1.6;9.1;21.0;356.233;120.0
43;1;2016-01-02 19:00:00;1.4;8.7;21.0;357.283;120.0
44;1;2016-01-02 20:00:00;1.5;8.8;21.0;353.1;120.0
45;1;2016-01-02 21:00:00;1.5;9.1;21.0;349.967;120.0
46;1;2016-01-02 22:00:00;1.5;9.0;21.0;352.06699999999995;120.0
47;1;2016-01-02 23:00:00;1.5;8.4;20.9;351.017;120.0
48;1;2016-01-03 00:00:00;1.4;7.8;20.9;351.017;120.0
49;1;2016-01-03 01:00:00;1.6;7.5;20.8;347.917;120.0
50;1;2016-01-03 02:00:00;1.6;7.5;20.8;353.1;120.0
51;1;2016-01-03 03:00:00;1.3;7.1;20.8;352.05;120.0
52;1;2016-01-03 04:00:00;1.6;6.9;20.8;355.18300000000005;120.0
53;1;2016-01-03 05:00:00;1.5;7.0;20.7;357.267;120.0
54;1;2016-01-03 06:00:00;1.3;6.5;20.7;353.1;120.0
55;1;2016-01-03 07:00:00;1.5;6.2;20.7;356.25;120.0
56;1;2016-01-03 08:00:00;1.6;6.0;20.6;353.117;120.0
57;1;2016-01-03 09:00:00;1.4;6.1;20.6;353.1;120.0
58;1;2016-01-03 10:00:00;1.5;6.5;20.6;356.233;127.424
59;1;2016-01-03 11:00:00;1.5;6.9;20.6;353.117;169.49900000000005
60;1;2016-01-03 12:00:00;1.3;7.4;20.5;354.1330000000001;227.662
61;1;2016-01-03 13:00:00;1.5;7.8;20.5;349.967;232.611
62;1;2016-01-03 14:00:00;1.4;8.1;20.5;352.05;201.673
63;1;2016-01-03 15:00:00;1.6;7.7;20.5;340.617;143.511
64;1;2016-01-03 16:00:00;1.3;7.4;20.5;347.8830000000001;129.898
65;1;2016-01-03 17:00:00;1.4;7.2;20.5;349.983;121.237
66;1;2016-01-03 18:00:00;1.7;7.2;20.4;341.65;120.0
67;1;2016-01-03 19:00:00;1.4;7.2;20.4;348.93300000000005;120.0
68;1;2016-01-03 20:00:00;1.3;7.6;20.4;341.6330000000001;120.0
69;1;2016-01-03 21:00:00;1.6;8.1;20.4;340.6;120.0
70;1;2016-01-03 22:00:00;1.5;8.3;20.4;344.767;120.0
71;1;2016-01-03 23:00:00;1.4;8.4;20.4;342.7;120.0
72;1;2016-01-04 00:00:00;1.5;8.4;20.4;341.6330000000001;120.0
73;1;2016-01-04 01:00:00;1.4;7.8;20.4;345.8;120.0
74;1;2016-01-04 02:00:00;1.6;7.5;20.3;341.667;120.0
75;1;2016-01-04 03:00:00;1.3;7.1;20.3;340.6;120.0
76;1;2016-01-04 04:00:00;1.6;6.6;20.3;344.767;120.0
77;1;2016-01-04 05:00:00;9.4;6.3;20.6;347.9;120.0
78;1;2016-01-04 06:00:00;12.1;6.4;21.0;353.117;120.0
79;1;2016-01-04 07:00:00;12.4;6.4;21.3;365.6;120.0
80;1;2016-01-04 08:00:00;12.2;5.9;21.7;382.283;120.0
81;1;2016-01-04 09:00:00;14.0;6.1;22.1;460.383;121.237
82;1;2016-01-04 10:00:00;16.8;6.5;22.3;560.4;227.661
83;1;2016-01-04 11:00:00;17.3;7.5;22.3;623.933;476.399
84;1;2016-01-04 12:00:00;17.7;8.4;22.4;619.7669999999998;525.898
85;1;2016-01-04 13:00:00;17.5;9.4;22.5;596.85;713.998
86;1;2016-01-04 14:00:00;17.6;10.0;22.7;620.817;603.861
87;1;2016-01-04 15:00:00;17.9;9.7;23.0;635.383;747.4110000000002
88;1;2016-01-04 16:00:00;17.9;9.7;23.2;655.183;373.686
89;1;2016-01-04 17:00:00;18.1;9.1;23.2;653.1;157.125
90;1;2016-01-04 18:00:00;17.6;8.2;23.1;615.6;120.0
91;1;2016-01-04 19:00:00;13.6;7.6;23.0;542.6669999999998;120.0
92;1;2016-01-04 20:00:00;1.6;7.1;22.6;643.717;120.0
93;1;2016-01-04 21:00:00;1.5;6.7;22.1;621.85;120.0
